"Time","Average Response Rate","edge-server-cv-74d975f7cd-pvhxn Response","edge-server-cv-74d975f7cd-v2ct9 Response","edge-server-cv-74d975f7cd-v8hnl Response"
2022-04-19 17:03:02,1.03 s,507 ms,529 ms,2.06 s
2022-04-19 17:03:04,911 ms,389 ms,500 ms,1.84 s
2022-04-19 17:03:06,681 ms,359 ms,472 ms,1.21 s
2022-04-19 17:03:08,531 ms,512 ms,412 ms,669 ms
2022-04-19 17:03:10,386 ms,445 ms,310 ms,404 ms
2022-04-19 17:03:12,472 ms,558 ms,435 ms,424 ms
2022-04-19 17:03:14,649 ms,892 ms,633 ms,422 ms
2022-04-19 17:03:16,670 ms,859 ms,827 ms,324 ms
2022-04-19 17:03:18,923 ms,1.05 s,1.42 s,297 ms
2022-04-19 17:03:20,893 ms,885 ms,1.36 s,434 ms
2022-04-19 17:03:22,838 ms,517 ms,1.46 s,539 ms
2022-04-19 17:03:24,835 ms,489 ms,1.37 s,644 ms
2022-04-19 17:03:26,595 ms,327 ms,856 ms,600 ms
2022-04-19 17:03:28,543 ms,350 ms,594 ms,684 ms
2022-04-19 17:03:30,515 ms,390 ms,521 ms,632 ms
2022-04-19 17:03:32,568 ms,600 ms,479 ms,625 ms
2022-04-19 17:03:34,643 ms,588 ms,710 ms,632 ms
2022-04-19 17:03:36,599 ms,561 ms,655 ms,580 ms
2022-04-19 17:03:38,607 ms,609 ms,732 ms,481 ms
2022-04-19 17:03:40,697 ms,736 ms,820 ms,535 ms
2022-04-19 17:03:42,920 ms,1.64 s,721 ms,404 ms
2022-04-19 17:03:44,859 ms,1.61 s,553 ms,417 ms
2022-04-19 17:03:46,882 ms,1.60 s,587 ms,460 ms
2022-04-19 17:03:48,824 ms,1.54 s,552 ms,382 ms
2022-04-19 17:03:50,676 ms,976 ms,546 ms,507 ms
2022-04-19 17:03:52,476 ms,278 ms,572 ms,578 ms
2022-04-19 17:03:54,448 ms,300 ms,433 ms,611 ms
2022-04-19 17:03:56,515 ms,461 ms,445 ms,639 ms
2022-04-19 17:03:58,588 ms,562 ms,562 ms,639 ms
2022-04-19 17:04:00,532 ms,628 ms,506 ms,463 ms
2022-04-19 17:04:02,594 ms,962 ms,415 ms,403 ms
2022-04-19 17:04:04,622 ms,1.01 s,529 ms,328 ms
2022-04-19 17:04:06,587 ms,884 ms,497 ms,379 ms
2022-04-19 17:04:08,563 ms,896 ms,434 ms,360 ms
2022-04-19 17:04:10,529 ms,793 ms,426 ms,368 ms
2022-04-19 17:04:12,377 ms,398 ms,389 ms,346 ms
2022-04-19 17:04:14,367 ms,377 ms,349 ms,374 ms
2022-04-19 17:04:16,997 ms,349 ms,319 ms,2.32 s
2022-04-19 17:04:18,1.07 s,294 ms,336 ms,2.59 s
2022-04-19 17:04:20,882 ms,608 ms,339 ms,1.70 s
2022-04-19 17:04:22,933 ms,842 ms,498 ms,1.46 s
2022-04-19 17:04:24,926 ms,1.02 s,531 ms,1.22 s
2022-04-19 17:04:26,782 ms,1.03 s,540 ms,779 ms
2022-04-19 17:04:28,587 ms,763 ms,603 ms,395 ms
2022-04-19 17:04:30,680 ms,589 ms,565 ms,886 ms
2022-04-19 17:04:32,781 ms,381 ms,614 ms,1.35 s
2022-04-19 17:04:34,869 ms,398 ms,576 ms,1.63 s

