"Time","Average Response Rate","edge-server-cv-78d887c496-f2l75 Response","edge-server-cv-78d887c496-fczhb Response","edge-server-cv-78d887c496-wrh5q Response"
2022-04-19 18:30:58,373 ms,429 ms,306 ms,385 ms
2022-04-19 18:31:00,370 ms,436 ms,276 ms,399 ms
2022-04-19 18:31:02,388 ms,427 ms,324 ms,412 ms
2022-04-19 18:31:04,410 ms,347 ms,528 ms,356 ms
2022-04-19 18:31:06,429 ms,403 ms,568 ms,317 ms
2022-04-19 18:31:08,432 ms,395 ms,547 ms,354 ms
2022-04-19 18:31:10,466 ms,484 ms,578 ms,335 ms
2022-04-19 18:31:12,431 ms,516 ms,454 ms,323 ms
2022-04-19 18:31:14,429 ms,515 ms,400 ms,372 ms
2022-04-19 18:31:16,473 ms,517 ms,400 ms,501 ms
2022-04-19 18:31:18,596 ms,656 ms,423 ms,709 ms
2022-04-19 18:31:20,645 ms,721 ms,376 ms,838 ms
2022-04-19 18:31:22,733 ms,1.05 s,336 ms,814 ms
2022-04-19 18:31:24,737 ms,1.05 s,340 ms,821 ms
2022-04-19 18:31:26,657 ms,996 ms,339 ms,637 ms
2022-04-19 18:31:28,535 ms,812 ms,312 ms,481 ms
2022-04-19 18:31:30,374 ms,379 ms,308 ms,435 ms
2022-04-19 18:31:32,450 ms,379 ms,485 ms,488 ms
2022-04-19 18:31:34,447 ms,406 ms,543 ms,392 ms
2022-04-19 18:31:36,466 ms,443 ms,534 ms,421 ms
2022-04-19 18:31:38,481 ms,450 ms,545 ms,448 ms
2022-04-19 18:31:40,461 ms,494 ms,498 ms,389 ms
2022-04-19 18:31:42,517 ms,904 ms,300 ms,346 ms
2022-04-19 18:31:44,467 ms,771 ms,302 ms,327 ms
2022-04-19 18:31:46,462 ms,749 ms,307 ms,329 ms
2022-04-19 18:31:48,452 ms,723 ms,320 ms,312 ms
2022-04-19 18:31:50,385 ms,470 ms,364 ms,321 ms
2022-04-19 18:31:52,336 ms,325 ms,374 ms,307 ms
2022-04-19 18:31:54,332 ms,327 ms,358 ms,312 ms
2022-04-19 18:31:56,358 ms,333 ms,401 ms,339 ms
2022-04-19 18:31:58,374 ms,435 ms,358 ms,329 ms
2022-04-19 18:32:00,438 ms,619 ms,368 ms,325 ms
2022-04-19 18:32:02,523 ms,877 ms,346 ms,344 ms
2022-04-19 18:32:04,597 ms,1.07 s,363 ms,356 ms
2022-04-19 18:32:06,567 ms,996 ms,343 ms,362 ms
2022-04-19 18:32:08,518 ms,851 ms,326 ms,377 ms
2022-04-19 18:32:10,464 ms,686 ms,333 ms,373 ms
2022-04-19 18:32:12,414 ms,411 ms,472 ms,361 ms
2022-04-19 18:32:14,362 ms,284 ms,459 ms,343 ms
2022-04-19 18:32:16,348 ms,289 ms,445 ms,309 ms
2022-04-19 18:32:18,353 ms,305 ms,454 ms,299 ms
2022-04-19 18:32:20,376 ms,398 ms,428 ms,301 ms
2022-04-19 18:32:22,411 ms,433 ms,370 ms,429 ms
2022-04-19 18:32:24,403 ms,435 ms,347 ms,427 ms
2022-04-19 18:32:26,409 ms,439 ms,350 ms,438 ms
2022-04-19 18:32:28,394 ms,441 ms,308 ms,432 ms
2022-04-19 18:32:30,321 ms,386 ms,283 ms,295 ms
2022-04-19 18:32:32,399 ms,403 ms,419 ms,376 ms
2022-04-19 18:32:34,422 ms,450 ms,430 ms,388 ms
2022-04-19 18:32:36,442 ms,444 ms,468 ms,412 ms
2022-04-19 18:32:38,449 ms,448 ms,479 ms,418 ms
2022-04-19 18:32:40,394 ms,426 ms,427 ms,330 ms
2022-04-19 18:32:42,365 ms,410 ms,369 ms,316 ms
2022-04-19 18:32:44,348 ms,412 ms,318 ms,314 ms
2022-04-19 18:32:46,365 ms,393 ms,329 ms,374 ms
2022-04-19 18:32:48,445 ms,368 ms,343 ms,624 ms
2022-04-19 18:32:50,507 ms,390 ms,334 ms,796 ms
2022-04-19 18:32:52,542 ms,363 ms,440 ms,823 ms
2022-04-19 18:32:54,576 ms,385 ms,472 ms,870 ms
2022-04-19 18:32:56,611 ms,386 ms,493 ms,954 ms
2022-04-19 18:32:58,626 ms,339 ms,573 ms,966 ms
2022-04-19 18:33:00,559 ms,303 ms,500 ms,874 ms
2022-04-19 18:33:02,540 ms,269 ms,474 ms,875 ms
2022-04-19 18:33:04,495 ms,320 ms,442 ms,723 ms
2022-04-19 18:33:06,400 ms,328 ms,320 ms,551 ms
2022-04-19 18:33:08,409 ms,334 ms,490 ms,404 ms
2022-04-19 18:33:10,563 ms,354 ms,640 ms,696 ms
2022-04-19 18:33:12,567 ms,382 ms,648 ms,672 ms
2022-04-19 18:33:14,557 ms,344 ms,618 ms,709 ms
2022-04-19 18:33:16,594 ms,473 ms,561 ms,747 ms
2022-04-19 18:33:18,574 ms,720 ms,411 ms,591 ms
2022-04-19 18:33:20,449 ms,671 ms,351 ms,324 ms
2022-04-19 18:33:22,444 ms,650 ms,345 ms,336 ms
2022-04-19 18:33:24,510 ms,697 ms,515 ms,318 ms
2022-04-19 18:33:26,606 ms,579 ms,702 ms,537 ms
2022-04-19 18:33:28,714 ms,541 ms,895 ms,705 ms
2022-04-19 18:33:30,825 ms,551 ms,1.19 s,739 ms
2022-04-19 18:33:32,865 ms,476 ms,1.31 s,805 ms
2022-04-19 18:33:34,879 ms,390 ms,1.19 s,1.06 s
2022-04-19 18:33:36,816 ms,315 ms,998 ms,1.13 s
2022-04-19 18:33:38,741 ms,300 ms,826 ms,1.10 s
2022-04-19 18:33:40,673 ms,303 ms,607 ms,1.11 s
2022-04-19 18:33:42,533 ms,303 ms,290 ms,1.00 s
2022-04-19 18:33:44,454 ms,410 ms,286 ms,665 ms
2022-04-19 18:33:46,483 ms,538 ms,286 ms,626 ms
2022-04-19 18:33:48,587 ms,695 ms,301 ms,765 ms
2022-04-19 18:33:50,745 ms,748 ms,557 ms,930 ms
2022-04-19 18:33:52,817 ms,658 ms,739 ms,1.05 s
2022-04-19 18:33:54,866 ms,568 ms,901 ms,1.13 s
2022-04-19 18:33:56,797 ms,422 ms,1.04 s,929 ms
2022-04-19 18:33:58,703 ms,370 ms,1.03 s,708 ms
2022-04-19 18:34:00,625 ms,370 ms,928 ms,577 ms
2022-04-19 18:34:02,497 ms,378 ms,788 ms,325 ms
2022-04-19 18:34:04,350 ms,262 ms,477 ms,309 ms
2022-04-19 18:34:06,392 ms,288 ms,488 ms,400 ms
2022-04-19 18:34:08,431 ms,295 ms,495 ms,503 ms
2022-04-19 18:34:10,518 ms,393 ms,455 ms,705 ms
2022-04-19 18:34:12,518 ms,388 ms,455 ms,712 ms
2022-04-19 18:34:14,570 ms,417 ms,525 ms,767 ms
2022-04-19 18:34:16,563 ms,458 ms,559 ms,672 ms
2022-04-19 18:34:18,484 ms,506 ms,538 ms,408 ms
2022-04-19 18:34:20,469 ms,439 ms,532 ms,437 ms
2022-04-19 18:34:22,436 ms,446 ms,435 ms,426 ms
2022-04-19 18:34:24,383 ms,416 ms,297 ms,437 ms
2022-04-19 18:34:26,418 ms,430 ms,341 ms,483 ms
2022-04-19 18:34:28,416 ms,410 ms,372 ms,465 ms
2022-04-19 18:34:30,420 ms,416 ms,440 ms,403 ms
2022-04-19 18:34:32,423 ms,384 ms,454 ms,432 ms
2022-04-19 18:34:34,447 ms,357 ms,551 ms,434 ms
2022-04-19 18:34:36,407 ms,290 ms,530 ms,399 ms
2022-04-19 18:34:38,380 ms,305 ms,462 ms,373 ms
2022-04-19 18:34:40,359 ms,285 ms,480 ms,312 ms
2022-04-19 18:34:42,358 ms,291 ms,404 ms,378 ms
2022-04-19 18:34:44,358 ms,280 ms,370 ms,426 ms
2022-04-19 18:34:46,363 ms,273 ms,377 ms,440 ms
2022-04-19 18:34:48,377 ms,255 ms,358 ms,517 ms
2022-04-19 18:34:50,436 ms,404 ms,350 ms,554 ms
2022-04-19 18:34:52,509 ms,600 ms,308 ms,621 ms
2022-04-19 18:34:54,555 ms,678 ms,334 ms,652 ms
2022-04-19 18:34:56,578 ms,685 ms,421 ms,630 ms
2022-04-19 18:34:58,567 ms,663 ms,433 ms,605 ms
2022-04-19 18:35:00,507 ms,570 ms,573 ms,377 ms
2022-04-19 18:35:02,414 ms,378 ms,565 ms,299 ms
