"Time","Average Response Rate","edge-server-cv-78d887c496-f2l75 Response","edge-server-cv-78d887c496-fczhb Response","edge-server-cv-78d887c496-wrh5q Response"
2022-04-19 18:52:26,421 ms,430 ms,338 ms,494 ms
2022-04-19 18:52:28,411 ms,395 ms,354 ms,484 ms
2022-04-19 18:52:30,392 ms,388 ms,343 ms,444 ms
2022-04-19 18:52:32,380 ms,386 ms,292 ms,462 ms
2022-04-19 18:52:34,401 ms,352 ms,297 ms,555 ms
2022-04-19 18:52:36,452 ms,363 ms,346 ms,646 ms
2022-04-19 18:52:38,514 ms,370 ms,426 ms,745 ms
2022-04-19 18:52:40,550 ms,374 ms,437 ms,840 ms
2022-04-19 18:52:42,525 ms,315 ms,438 ms,822 ms
2022-04-19 18:52:44,754 ms,289 ms,449 ms,1.52 s
2022-04-19 18:52:46,609 ms,291 ms,422 ms,1.11 s
2022-04-19 18:52:48,790 ms,750 ms,536 ms,1.09 s
2022-04-19 18:52:50,781 ms,874 ms,518 ms,950 ms
2022-04-19 18:52:52,779 ms,973 ms,523 ms,841 ms
2022-04-19 18:52:54,720 ms,918 ms,522 ms,720 ms
2022-04-19 18:52:56,668 ms,863 ms,422 ms,720 ms
2022-04-19 18:52:58,629 ms,789 ms,404 ms,695 ms
2022-04-19 18:53:00,649 ms,652 ms,399 ms,895 ms
2022-04-19 18:53:02,615 ms,550 ms,431 ms,862 ms
2022-04-19 18:53:04,591 ms,427 ms,601 ms,746 ms
2022-04-19 18:53:06,511 ms,471 ms,587 ms,475 ms
2022-04-19 18:53:08,488 ms,415 ms,597 ms,451 ms
2022-04-19 18:53:10,609 ms,808 ms,612 ms,409 ms
2022-04-19 18:53:12,621 ms,1.03 s,432 ms,401 ms
2022-04-19 18:53:14,657 ms,1.22 s,393 ms,358 ms
2022-04-19 18:53:16,692 ms,1.38 s,377 ms,318 ms
2022-04-19 18:53:18,721 ms,1.41 s,456 ms,296 ms
2022-04-19 18:53:20,713 ms,1.46 s,391 ms,286 ms
2022-04-19 18:53:22,738 ms,1.48 s,430 ms,302 ms
2022-04-19 18:53:24,801 ms,1.48 s,425 ms,499 ms
2022-04-19 18:53:26,819 ms,1.50 s,352 ms,607 ms
2022-04-19 18:53:28,848 ms,1.49 s,341 ms,709 ms
2022-04-19 18:53:30,890 ms,1.45 s,382 ms,836 ms
2022-04-19 18:53:32,895 ms,1.47 s,493 ms,723 ms
2022-04-19 18:53:34,902 ms,1.48 s,551 ms,676 ms
2022-04-19 18:53:36,902 ms,1.41 s,625 ms,675 ms
2022-04-19 18:53:38,895 ms,1.36 s,634 ms,687 ms
2022-04-19 18:53:40,864 ms,1.25 s,580 ms,764 ms
2022-04-19 18:53:42,862 ms,1.05 s,587 ms,952 ms
2022-04-19 18:53:44,810 ms,928 ms,527 ms,975 ms
2022-04-19 18:53:46,750 ms,867 ms,419 ms,963 ms

