"Time","Average Response Rate","edge-server-cv-78d887c496-kcrxl Response","edge-server-cv-78d887c496-pr2rl Response","edge-server-cv-78d887c496-r2wgp Response"
2022-04-19 17:58:40,297 ms,296 ms,261 ms,334 ms
2022-04-19 17:58:42,268 ms,271 ms,253 ms,280 ms
2022-04-19 17:58:44,272 ms,275 ms,264 ms,277 ms
2022-04-19 17:58:46,258 ms,279 ms,244 ms,250 ms
2022-04-19 17:58:48,253 ms,261 ms,244 ms,252 ms
2022-04-19 17:58:50,251 ms,264 ms,229 ms,261 ms
2022-04-19 17:58:52,273 ms,266 ms,309 ms,245 ms
2022-04-19 17:58:54,267 ms,262 ms,296 ms,243 ms
2022-04-19 17:58:56,295 ms,259 ms,324 ms,303 ms
2022-04-19 17:58:58,302 ms,269 ms,334 ms,303 ms
2022-04-19 17:59:00,293 ms,253 ms,317 ms,308 ms
2022-04-19 17:59:02,293 ms,252 ms,322 ms,305 ms
2022-04-19 17:59:04,278 ms,249 ms,293 ms,292 ms
2022-04-19 17:59:06,265 ms,252 ms,289 ms,254 ms
2022-04-19 17:59:08,266 ms,261 ms,289 ms,249 ms
2022-04-19 17:59:10,266 ms,265 ms,290 ms,243 ms
2022-04-19 17:59:12,256 ms,275 ms,253 ms,241 ms
2022-04-19 17:59:14,271 ms,320 ms,254 ms,238 ms
2022-04-19 17:59:16,282 ms,320 ms,250 ms,277 ms
2022-04-19 17:59:18,336 ms,353 ms,266 ms,389 ms
2022-04-19 17:59:20,350 ms,361 ms,287 ms,401 ms
2022-04-19 17:59:22,347 ms,356 ms,287 ms,399 ms
2022-04-19 17:59:24,338 ms,323 ms,281 ms,411 ms
2022-04-19 17:59:26,313 ms,318 ms,273 ms,347 ms
2022-04-19 17:59:28,265 ms,259 ms,270 ms,266 ms
2022-04-19 17:59:30,268 ms,274 ms,266 ms,265 ms
2022-04-19 17:59:32,270 ms,268 ms,282 ms,261 ms
2022-04-19 17:59:34,278 ms,265 ms,288 ms,281 ms
2022-04-19 17:59:36,272 ms,260 ms,275 ms,280 ms
2022-04-19 17:59:38,286 ms,289 ms,285 ms,284 ms
2022-04-19 17:59:40,282 ms,288 ms,289 ms,267 ms
2022-04-19 17:59:42,267 ms,278 ms,272 ms,252 ms
2022-04-19 17:59:44,267 ms,291 ms,268 ms,241 ms
2022-04-19 17:59:46,271 ms,304 ms,269 ms,240 ms
2022-04-19 17:59:48,263 ms,283 ms,259 ms,248 ms
2022-04-19 17:59:50,269 ms,293 ms,273 ms,242 ms
2022-04-19 17:59:52,271 ms,293 ms,283 ms,236 ms
2022-04-19 17:59:54,265 ms,269 ms,287 ms,240 ms
2022-04-19 17:59:56,266 ms,251 ms,290 ms,257 ms
2022-04-19 17:59:58,273 ms,276 ms,290 ms,254 ms
2022-04-19 18:00:00,268 ms,267 ms,275 ms,262 ms
2022-04-19 18:00:02,265 ms,267 ms,268 ms,261 ms
2022-04-19 18:00:04,260 ms,251 ms,264 ms,265 ms
2022-04-19 18:00:06,250 ms,236 ms,267 ms,248 ms
2022-04-19 18:00:08,243 ms,239 ms,243 ms,247 ms
2022-04-19 18:00:10,251 ms,239 ms,271 ms,244 ms
2022-04-19 18:00:12,267 ms,259 ms,291 ms,250 ms
2022-04-19 18:00:14,281 ms,268 ms,283 ms,293 ms
2022-04-19 18:00:16,280 ms,256 ms,285 ms,300 ms
2022-04-19 18:00:18,290 ms,286 ms,282 ms,303 ms
2022-04-19 18:00:20,285 ms,281 ms,254 ms,319 ms
2022-04-19 18:00:22,287 ms,274 ms,296 ms,290 ms
2022-04-19 18:00:24,288 ms,276 ms,298 ms,288 ms
2022-04-19 18:00:26,283 ms,267 ms,311 ms,273 ms
2022-04-19 18:00:28,265 ms,245 ms,307 ms,242 ms
2022-04-19 18:00:30,251 ms,249 ms,261 ms,242 ms
2022-04-19 18:00:32,270 ms,254 ms,244 ms,311 ms
2022-04-19 18:00:34,279 ms,244 ms,250 ms,343 ms
2022-04-19 18:00:36,280 ms,246 ms,248 ms,347 ms
2022-04-19 18:00:38,270 ms,243 ms,234 ms,333 ms
2022-04-19 18:00:40,255 ms,243 ms,243 ms,278 ms
2022-04-19 18:00:42,254 ms,256 ms,247 ms,260 ms
2022-04-19 18:00:44,250 ms,254 ms,247 ms,249 ms
2022-04-19 18:00:46,255 ms,260 ms,252 ms,252 ms
2022-04-19 18:00:48,267 ms,259 ms,284 ms,258 ms
2022-04-19 18:00:50,287 ms,259 ms,339 ms,262 ms
2022-04-19 18:00:52,285 ms,258 ms,340 ms,258 ms
2022-04-19 18:00:54,299 ms,256 ms,378 ms,263 ms
2022-04-19 18:00:56,305 ms,259 ms,361 ms,294 ms
2022-04-19 18:00:58,272 ms,246 ms,262 ms,308 ms
2022-04-19 18:01:00,267 ms,236 ms,258 ms,307 ms
2022-04-19 18:01:02,265 ms,226 ms,260 ms,310 ms
2022-04-19 18:01:04,261 ms,221 ms,255 ms,307 ms
2022-04-19 18:01:06,266 ms,276 ms,250 ms,272 ms
2022-04-19 18:01:08,267 ms,281 ms,252 ms,267 ms
2022-04-19 18:01:10,273 ms,287 ms,252 ms,278 ms
2022-04-19 18:01:12,277 ms,299 ms,259 ms,272 ms
2022-04-19 18:01:14,287 ms,310 ms,282 ms,269 ms
2022-04-19 18:01:16,285 ms,282 ms,312 ms,262 ms
2022-04-19 18:01:18,271 ms,269 ms,290 ms,254 ms
2022-04-19 18:01:20,266 ms,261 ms,286 ms,251 ms
2022-04-19 18:01:22,267 ms,254 ms,290 ms,256 ms
2022-04-19 18:01:24,248 ms,243 ms,247 ms,255 ms
2022-04-19 18:01:26,253 ms,252 ms,253 ms,255 ms
2022-04-19 18:01:28,276 ms,255 ms,264 ms,309 ms
2022-04-19 18:01:30,283 ms,254 ms,291 ms,302 ms
2022-04-19 18:01:32,277 ms,253 ms,274 ms,303 ms
2022-04-19 18:01:34,274 ms,250 ms,274 ms,298 ms
2022-04-19 18:01:36,266 ms,250 ms,276 ms,272 ms
2022-04-19 18:01:38,283 ms,314 ms,278 ms,258 ms
2022-04-19 18:01:40,268 ms,303 ms,249 ms,251 ms
2022-04-19 18:01:42,271 ms,312 ms,255 ms,247 ms
2022-04-19 18:01:44,272 ms,327 ms,254 ms,235 ms
2022-04-19 18:01:46,258 ms,299 ms,255 ms,222 ms
2022-04-19 18:01:48,255 ms,263 ms,255 ms,246 ms
2022-04-19 18:01:50,257 ms,262 ms,264 ms,245 ms
2022-04-19 18:01:52,262 ms,262 ms,275 ms,248 ms
2022-04-19 18:01:54,263 ms,256 ms,277 ms,254 ms
2022-04-19 18:01:56,267 ms,258 ms,284 ms,260 ms
2022-04-19 18:01:58,262 ms,252 ms,279 ms,254 ms
2022-04-19 18:02:00,259 ms,249 ms,268 ms,260 ms
2022-04-19 18:02:02,269 ms,269 ms,273 ms,264 ms
2022-04-19 18:02:04,269 ms,275 ms,267 ms,265 ms
2022-04-19 18:02:06,262 ms,265 ms,266 ms,254 ms
2022-04-19 18:02:08,274 ms,265 ms,278 ms,279 ms
2022-04-19 18:02:10,285 ms,260 ms,271 ms,325 ms
2022-04-19 18:02:12,281 ms,261 ms,268 ms,315 ms
2022-04-19 18:02:14,283 ms,261 ms,270 ms,317 ms
2022-04-19 18:02:16,278 ms,262 ms,263 ms,310 ms
2022-04-19 18:02:18,271 ms,301 ms,251 ms,259 ms
2022-04-19 18:02:20,267 ms,285 ms,249 ms,267 ms
2022-04-19 18:02:22,264 ms,281 ms,249 ms,260 ms
2022-04-19 18:02:24,259 ms,273 ms,252 ms,253 ms
2022-04-19 18:02:26,273 ms,260 ms,307 ms,252 ms
2022-04-19 18:02:28,276 ms,249 ms,308 ms,273 ms
2022-04-19 18:02:30,283 ms,247 ms,309 ms,292 ms
2022-04-19 18:02:32,285 ms,253 ms,307 ms,296 ms
2022-04-19 18:02:34,287 ms,255 ms,287 ms,321 ms
2022-04-19 18:02:36,295 ms,256 ms,308 ms,322 ms
2022-04-19 18:02:38,287 ms,252 ms,315 ms,293 ms
2022-04-19 18:02:40,279 ms,249 ms,319 ms,269 ms
2022-04-19 18:02:42,288 ms,249 ms,345 ms,271 ms
2022-04-19 18:02:44,280 ms,260 ms,316 ms,264 ms
2022-04-19 18:02:46,278 ms,267 ms,294 ms,272 ms
2022-04-19 18:02:48,276 ms,270 ms,294 ms,264 ms
2022-04-19 18:02:50,274 ms,267 ms,296 ms,257 ms
2022-04-19 18:02:52,267 ms,264 ms,279 ms,258 ms
2022-04-19 18:02:54,259 ms,260 ms,261 ms,256 ms
2022-04-19 18:02:56,255 ms,242 ms,267 ms,255 ms
2022-04-19 18:02:58,274 ms,289 ms,267 ms,266 ms
2022-04-19 18:03:00,284 ms,301 ms,266 ms,284 ms
2022-04-19 18:03:02,282 ms,291 ms,266 ms,288 ms
2022-04-19 18:03:04,281 ms,287 ms,260 ms,295 ms
2022-04-19 18:03:06,282 ms,273 ms,282 ms,291 ms
2022-04-19 18:03:08,301 ms,274 ms,330 ms,299 ms
2022-04-19 18:03:10,293 ms,255 ms,339 ms,284 ms
2022-04-19 18:03:12,277 ms,236 ms,323 ms,273 ms
2022-04-19 18:03:14,286 ms,240 ms,341 ms,276 ms
2022-04-19 18:03:16,271 ms,257 ms,284 ms,271 ms
2022-04-19 18:03:18,262 ms,254 ms,270 ms,262 ms
2022-04-19 18:03:20,266 ms,269 ms,269 ms,259 ms
2022-04-19 18:03:22,267 ms,278 ms,266 ms,255 ms
2022-04-19 18:03:24,258 ms,259 ms,260 ms,255 ms
2022-04-19 18:03:26,257 ms,258 ms,259 ms,255 ms
2022-04-19 18:03:28,261 ms,256 ms,264 ms,262 ms
2022-04-19 18:03:30,257 ms,256 ms,253 ms,264 ms
2022-04-19 18:03:32,262 ms,253 ms,264 ms,268 ms
2022-04-19 18:03:34,258 ms,251 ms,261 ms,263 ms
2022-04-19 18:03:36,260 ms,252 ms,256 ms,270 ms
2022-04-19 18:03:38,274 ms,256 ms,268 ms,299 ms
2022-04-19 18:03:40,277 ms,252 ms,274 ms,304 ms
2022-04-19 18:03:42,278 ms,267 ms,267 ms,300 ms
2022-04-19 18:03:44,274 ms,267 ms,276 ms,277 ms
2022-04-19 18:03:46,266 ms,285 ms,265 ms,248 ms
2022-04-19 18:03:48,262 ms,289 ms,248 ms,249 ms
2022-04-19 18:03:50,266 ms,296 ms,247 ms,255 ms
2022-04-19 18:03:52,285 ms,283 ms,249 ms,322 ms
2022-04-19 18:03:54,286 ms,280 ms,245 ms,332 ms
2022-04-19 18:03:56,283 ms,268 ms,252 ms,328 ms
2022-04-19 18:03:58,276 ms,269 ms,248 ms,311 ms
2022-04-19 18:04:00,267 ms,283 ms,258 ms,260 ms
2022-04-19 18:04:02,264 ms,288 ms,252 ms,253 ms
2022-04-19 18:04:04,263 ms,282 ms,250 ms,258 ms
2022-04-19 18:04:06,261 ms,263 ms,246 ms,275 ms
2022-04-19 18:04:08,267 ms,263 ms,246 ms,292 ms
2022-04-19 18:04:10,262 ms,235 ms,254 ms,296 ms
2022-04-19 18:04:12,257 ms,229 ms,258 ms,285 ms
2022-04-19 18:04:14,307 ms,258 ms,389 ms,274 ms
2022-04-19 18:04:16,291 ms,255 ms,362 ms,257 ms
