"Time","Average Response Rate","edge-server-cv-78d887c496-cqvkm Response","edge-server-cv-78d887c496-s6h4q Response","edge-server-cv-78d887c496-wf72b Response"
2022-04-19 17:26:26,283 ms,293 ms,285 ms,271 ms
2022-04-19 17:26:28,286 ms,306 ms,282 ms,271 ms
2022-04-19 17:26:30,283 ms,305 ms,286 ms,259 ms
2022-04-19 17:26:32,281 ms,293 ms,280 ms,268 ms
2022-04-19 17:26:34,310 ms,315 ms,272 ms,343 ms
2022-04-19 17:26:36,330 ms,327 ms,318 ms,344 ms
2022-04-19 17:26:38,342 ms,339 ms,348 ms,338 ms
2022-04-19 17:26:40,346 ms,328 ms,367 ms,343 ms
2022-04-19 17:26:42,321 ms,330 ms,351 ms,281 ms
2022-04-19 17:26:44,311 ms,308 ms,350 ms,274 ms
2022-04-19 17:26:46,288 ms,292 ms,268 ms,305 ms
2022-04-19 17:26:48,301 ms,265 ms,266 ms,371 ms
2022-04-19 17:26:50,301 ms,289 ms,264 ms,349 ms
2022-04-19 17:26:52,305 ms,323 ms,248 ms,344 ms
2022-04-19 17:26:54,301 ms,313 ms,253 ms,337 ms
2022-04-19 17:26:56,279 ms,314 ms,261 ms,262 ms
2022-04-19 17:26:58,278 ms,301 ms,269 ms,263 ms
2022-04-19 17:27:00,279 ms,297 ms,268 ms,271 ms
2022-04-19 17:27:02,275 ms,271 ms,273 ms,283 ms
2022-04-19 17:27:04,275 ms,268 ms,273 ms,284 ms
2022-04-19 17:27:06,278 ms,270 ms,279 ms,285 ms
2022-04-19 17:27:08,288 ms,272 ms,307 ms,284 ms
2022-04-19 17:27:10,282 ms,267 ms,313 ms,266 ms
2022-04-19 17:27:12,296 ms,288 ms,314 ms,286 ms
2022-04-19 17:27:14,291 ms,285 ms,302 ms,285 ms
2022-04-19 17:27:16,280 ms,278 ms,279 ms,283 ms
2022-04-19 17:27:18,280 ms,280 ms,273 ms,286 ms
2022-04-19 17:27:20,282 ms,261 ms,269 ms,316 ms
2022-04-19 17:27:22,294 ms,259 ms,272 ms,352 ms
2022-04-19 17:27:24,339 ms,261 ms,386 ms,370 ms
2022-04-19 17:27:26,364 ms,358 ms,372 ms,360 ms
2022-04-19 17:27:28,391 ms,473 ms,353 ms,349 ms
2022-04-19 17:27:30,415 ms,441 ms,471 ms,334 ms
2022-04-19 17:27:32,395 ms,457 ms,445 ms,283 ms
2022-04-19 17:27:34,400 ms,482 ms,434 ms,285 ms
2022-04-19 17:27:36,350 ms,311 ms,445 ms,293 ms
2022-04-19 17:27:38,313 ms,284 ms,362 ms,292 ms
2022-04-19 17:27:40,290 ms,283 ms,312 ms,277 ms
2022-04-19 17:27:42,290 ms,281 ms,321 ms,267 ms
2022-04-19 17:27:44,280 ms,276 ms,314 ms,251 ms
2022-04-19 17:27:46,269 ms,265 ms,295 ms,247 ms
2022-04-19 17:27:48,276 ms,267 ms,291 ms,271 ms
2022-04-19 17:27:50,276 ms,273 ms,277 ms,279 ms
2022-04-19 17:27:52,286 ms,296 ms,277 ms,285 ms
2022-04-19 17:27:54,306 ms,327 ms,273 ms,318 ms
2022-04-19 17:27:56,308 ms,339 ms,269 ms,314 ms
2022-04-19 17:27:58,320 ms,372 ms,274 ms,313 ms
2022-04-19 17:28:00,351 ms,369 ms,273 ms,411 ms
2022-04-19 17:28:02,339 ms,360 ms,265 ms,391 ms
2022-04-19 17:28:04,328 ms,343 ms,272 ms,370 ms
2022-04-19 17:28:06,313 ms,305 ms,269 ms,364 ms
2022-04-19 17:28:08,294 ms,262 ms,272 ms,347 ms
2022-04-19 17:28:10,274 ms,265 ms,272 ms,286 ms
2022-04-19 17:28:12,282 ms,256 ms,271 ms,317 ms
2022-04-19 17:28:14,284 ms,260 ms,274 ms,318 ms
2022-04-19 17:28:16,291 ms,268 ms,268 ms,338 ms
2022-04-19 17:28:18,285 ms,257 ms,267 ms,332 ms
2022-04-19 17:28:20,292 ms,277 ms,266 ms,332 ms
2022-04-19 17:28:22,293 ms,275 ms,289 ms,314 ms
2022-04-19 17:28:24,290 ms,270 ms,291 ms,310 ms
2022-04-19 17:28:26,296 ms,278 ms,290 ms,320 ms
2022-04-19 17:28:28,343 ms,285 ms,392 ms,351 ms
2022-04-19 17:28:30,340 ms,295 ms,367 ms,358 ms
2022-04-19 17:28:32,330 ms,296 ms,374 ms,318 ms
2022-04-19 17:28:34,328 ms,299 ms,367 ms,316 ms
2022-04-19 17:28:36,310 ms,303 ms,371 ms,256 ms
2022-04-19 17:28:38,282 ms,273 ms,303 ms,269 ms
2022-04-19 17:28:40,276 ms,266 ms,298 ms,265 ms
2022-04-19 17:28:42,292 ms,290 ms,319 ms,266 ms
2022-04-19 17:28:44,307 ms,357 ms,287 ms,279 ms
2022-04-19 17:28:46,356 ms,529 ms,286 ms,254 ms
2022-04-19 17:28:48,353 ms,504 ms,303 ms,252 ms
2022-04-19 17:28:50,370 ms,560 ms,299 ms,252 ms
2022-04-19 17:28:52,368 ms,534 ms,321 ms,248 ms
2022-04-19 17:28:54,351 ms,456 ms,332 ms,264 ms
2022-04-19 17:28:56,299 ms,267 ms,352 ms,277 ms
2022-04-19 17:28:58,299 ms,270 ms,343 ms,285 ms
2022-04-19 17:29:00,296 ms,275 ms,329 ms,284 ms
2022-04-19 17:29:02,301 ms,348 ms,293 ms,260 ms
2022-04-19 17:29:04,297 ms,343 ms,288 ms,259 ms
2022-04-19 17:29:06,301 ms,353 ms,296 ms,253 ms
2022-04-19 17:29:08,311 ms,385 ms,296 ms,253 ms
2022-04-19 17:29:10,306 ms,336 ms,303 ms,279 ms
2022-04-19 17:29:12,320 ms,321 ms,349 ms,290 ms
2022-04-19 17:29:14,356 ms,332 ms,413 ms,323 ms
2022-04-19 17:29:16,363 ms,367 ms,393 ms,329 ms
