"Time","Average Response Rate","edge-server-cv-78d887c496-c9b5z Response","edge-server-cv-78d887c496-pgbtd Response"
2022-04-19 14:43:44,592 ms,601 ms,584 ms
2022-04-19 14:43:46,608 ms,649 ms,567 ms
2022-04-19 14:43:48,615 ms,651 ms,579 ms
2022-04-19 14:43:50,570 ms,554 ms,586 ms
2022-04-19 14:43:52,492 ms,477 ms,507 ms
2022-04-19 14:43:54,429 ms,371 ms,486 ms
2022-04-19 14:43:56,497 ms,350 ms,644 ms
2022-04-19 14:43:58,437 ms,352 ms,522 ms
2022-04-19 14:44:00,411 ms,319 ms,502 ms
2022-04-19 14:44:02,388 ms,288 ms,487 ms
2022-04-19 14:44:04,327 ms,302 ms,352 ms
2022-04-19 14:44:06,321 ms,294 ms,347 ms
2022-04-19 14:44:08,450 ms,299 ms,601 ms
2022-04-19 14:44:10,598 ms,351 ms,846 ms
2022-04-19 14:44:12,737 ms,357 ms,1.12 s
2022-04-19 14:44:14,884 ms,359 ms,1.41 s
2022-04-19 14:44:16,964 ms,374 ms,1.55 s
2022-04-19 14:44:18,988 ms,357 ms,1.62 s
2022-04-19 14:44:20,988 ms,337 ms,1.64 s
2022-04-19 14:44:22,978 ms,365 ms,1.59 s
2022-04-19 14:44:24,813 ms,345 ms,1.28 s
2022-04-19 14:44:26,611 ms,315 ms,907 ms
2022-04-19 14:44:28,510 ms,329 ms,690 ms
2022-04-19 14:44:30,367 ms,320 ms,414 ms
2022-04-19 14:44:32,382 ms,368 ms,395 ms
2022-04-19 14:44:34,396 ms,375 ms,418 ms
2022-04-19 14:44:36,398 ms,362 ms,434 ms
2022-04-19 14:44:38,416 ms,379 ms,452 ms
2022-04-19 14:44:40,413 ms,382 ms,443 ms
2022-04-19 14:44:42,289 ms,287 ms,292 ms
2022-04-19 14:44:44,358 ms,422 ms,293 ms
2022-04-19 14:44:46,412 ms,545 ms,279 ms
2022-04-19 14:44:48,479 ms,656 ms,302 ms
2022-04-19 14:44:50,526 ms,717 ms,335 ms
2022-04-19 14:44:52,530 ms,730 ms,330 ms
2022-04-19 14:44:54,500 ms,667 ms,333 ms
2022-04-19 14:44:56,441 ms,538 ms,344 ms
2022-04-19 14:44:58,420 ms,557 ms,284 ms
2022-04-19 14:45:00,411 ms,527 ms,295 ms
2022-04-19 14:45:02,423 ms,549 ms,297 ms
2022-04-19 14:45:04,590 ms,889 ms,292 ms
2022-04-19 14:45:06,685 ms,1.06 s,310 ms
2022-04-19 14:45:08,828 ms,1.23 s,426 ms
2022-04-19 14:45:10,748 ms,978 ms,518 ms
2022-04-19 14:45:12,779 ms,890 ms,668 ms
2022-04-19 14:45:14,732 ms,752 ms,711 ms
2022-04-19 14:45:16,634 ms,595 ms,673 ms
2022-04-19 14:45:18,654 ms,583 ms,725 ms
2022-04-19 14:45:20,602 ms,611 ms,594 ms
2022-04-19 14:45:22,589 ms,562 ms,616 ms
2022-04-19 14:45:24,566 ms,526 ms,606 ms
2022-04-19 14:45:26,483 ms,389 ms,576 ms
2022-04-19 14:45:28,399 ms,371 ms,428 ms
2022-04-19 14:45:30,347 ms,363 ms,332 ms
2022-04-19 14:45:32,356 ms,372 ms,341 ms
2022-04-19 14:45:34,353 ms,358 ms,348 ms
2022-04-19 14:45:36,345 ms,348 ms,342 ms
2022-04-19 14:45:38,346 ms,316 ms,376 ms
2022-04-19 14:45:40,344 ms,313 ms,376 ms
2022-04-19 14:45:42,512 ms,678 ms,346 ms
2022-04-19 14:45:44,549 ms,759 ms,339 ms
2022-04-19 14:45:46,632 ms,800 ms,463 ms
2022-04-19 14:45:48,539 ms,531 ms,547 ms
2022-04-19 14:45:50,543 ms,490 ms,597 ms
2022-04-19 14:45:52,454 ms,311 ms,598 ms
2022-04-19 14:45:54,454 ms,326 ms,582 ms
2022-04-19 14:45:56,389 ms,443 ms,335 ms
2022-04-19 14:45:58,395 ms,464 ms,325 ms
2022-04-19 14:46:00,384 ms,435 ms,332 ms
2022-04-19 14:46:02,371 ms,439 ms,302 ms
2022-04-19 14:46:04,364 ms,334 ms,393 ms
2022-04-19 14:46:06,340 ms,277 ms,404 ms
2022-04-19 14:46:08,435 ms,380 ms,489 ms
2022-04-19 14:46:10,454 ms,384 ms,525 ms
2022-04-19 14:46:12,430 ms,386 ms,474 ms
2022-04-19 14:46:14,408 ms,397 ms,419 ms
2022-04-19 14:46:16,353 ms,287 ms,420 ms
2022-04-19 14:46:18,318 ms,276 ms,361 ms
2022-04-19 14:46:20,325 ms,303 ms,347 ms
2022-04-19 14:46:22,330 ms,305 ms,355 ms
2022-04-19 14:46:24,323 ms,309 ms,337 ms
2022-04-19 14:46:26,328 ms,320 ms,336 ms
2022-04-19 14:46:28,341 ms,355 ms,328 ms
