"Time","Average Response Rate","edge-server-cv-78d887c496-hwv29 Response","edge-server-cv-78d887c496-rpl2c Response"
2022-04-19 14:08:28,416 ms,354 ms,477 ms
2022-04-19 14:08:30,415 ms,352 ms,477 ms
2022-04-19 14:08:32,388 ms,345 ms,431 ms
2022-04-19 14:08:34,350 ms,261 ms,438 ms
2022-04-19 14:08:36,364 ms,254 ms,473 ms
2022-04-19 14:08:38,374 ms,257 ms,491 ms
2022-04-19 14:08:40,373 ms,254 ms,492 ms
2022-04-19 14:08:42,274 ms,250 ms,299 ms
2022-04-19 14:08:44,270 ms,249 ms,291 ms
2022-04-19 14:08:46,268 ms,248 ms,289 ms
2022-04-19 14:08:48,254 ms,248 ms,260 ms
2022-04-19 14:08:50,286 ms,311 ms,261 ms
2022-04-19 14:08:52,298 ms,323 ms,274 ms
2022-04-19 14:08:54,299 ms,319 ms,278 ms
2022-04-19 14:08:56,301 ms,323 ms,279 ms
2022-04-19 14:08:58,299 ms,310 ms,287 ms
2022-04-19 14:09:00,277 ms,270 ms,284 ms
2022-04-19 14:09:02,273 ms,268 ms,277 ms
2022-04-19 14:09:04,277 ms,277 ms,277 ms
2022-04-19 14:09:06,257 ms,246 ms,268 ms
2022-04-19 14:09:08,302 ms,350 ms,255 ms
2022-04-19 14:09:10,326 ms,367 ms,284 ms
2022-04-19 14:09:12,353 ms,361 ms,346 ms
2022-04-19 14:09:14,363 ms,372 ms,354 ms
2022-04-19 14:09:16,396 ms,375 ms,417 ms
2022-04-19 14:09:18,330 ms,270 ms,391 ms
2022-04-19 14:09:20,351 ms,299 ms,402 ms
2022-04-19 14:09:22,322 ms,297 ms,346 ms
2022-04-19 14:09:24,303 ms,305 ms,300 ms
2022-04-19 14:09:26,284 ms,305 ms,264 ms
2022-04-19 14:09:28,269 ms,284 ms,254 ms
2022-04-19 14:09:30,269 ms,281 ms,256 ms
2022-04-19 14:09:32,270 ms,262 ms,278 ms
2022-04-19 14:09:34,273 ms,269 ms,278 ms
2022-04-19 14:09:36,286 ms,278 ms,293 ms
2022-04-19 14:09:38,292 ms,285 ms,298 ms
2022-04-19 14:09:40,291 ms,287 ms,295 ms
2022-04-19 14:09:42,295 ms,289 ms,301 ms
2022-04-19 14:09:44,281 ms,274 ms,289 ms
2022-04-19 14:09:46,282 ms,278 ms,286 ms
2022-04-19 14:09:48,339 ms,271 ms,407 ms
