"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:22:12,248 ms
2022-04-18 15:22:14,252 ms
2022-04-18 15:22:16,264 ms
2022-04-18 15:22:18,262 ms
2022-04-18 15:22:20,255 ms
2022-04-18 15:22:22,251 ms
2022-04-18 15:22:24,250 ms
2022-04-18 15:22:26,266 ms
2022-04-18 15:22:28,282 ms
2022-04-18 15:22:30,283 ms
2022-04-18 15:22:32,284 ms
2022-04-18 15:22:34,276 ms
2022-04-18 15:22:36,301 ms
2022-04-18 15:22:38,297 ms
2022-04-18 15:22:40,300 ms
2022-04-18 15:22:42,300 ms
2022-04-18 15:22:44,309 ms
2022-04-18 15:22:46,310 ms
2022-04-18 15:22:48,320 ms
2022-04-18 15:22:50,315 ms
2022-04-18 15:22:52,299 ms
2022-04-18 15:22:54,273 ms
2022-04-18 15:22:56,268 ms
2022-04-18 15:22:58,274 ms
2022-04-18 15:23:00,323 ms
2022-04-18 15:23:02,330 ms
2022-04-18 15:23:04,331 ms
2022-04-18 15:23:06,326 ms
2022-04-18 15:23:08,262 ms
2022-04-18 15:23:10,262 ms
2022-04-18 15:23:12,263 ms
2022-04-18 15:23:14,267 ms
2022-04-18 15:23:16,272 ms
2022-04-18 15:23:18,253 ms
2022-04-18 15:23:20,228 ms
2022-04-18 15:23:22,221 ms
2022-04-18 15:23:24,233 ms
2022-04-18 15:23:26,235 ms
2022-04-18 15:23:28,237 ms
2022-04-18 15:23:30,249 ms
2022-04-18 15:23:32,262 ms
2022-04-18 15:23:34,269 ms
2022-04-18 15:23:36,273 ms
2022-04-18 15:23:38,277 ms
2022-04-18 15:23:40,269 ms
2022-04-18 15:23:42,267 ms
2022-04-18 15:23:44,262 ms
2022-04-18 15:23:46,261 ms
2022-04-18 15:23:48,250 ms
2022-04-18 15:23:50,251 ms
2022-04-18 15:23:52,251 ms
2022-04-18 15:23:54,243 ms
2022-04-18 15:23:56,247 ms
2022-04-18 15:23:58,246 ms
2022-04-18 15:24:00,244 ms
2022-04-18 15:24:02,252 ms
2022-04-18 15:24:04,266 ms
2022-04-18 15:24:06,281 ms
2022-04-18 15:24:08,275 ms
2022-04-18 15:24:10,267 ms
2022-04-18 15:24:12,254 ms
