"Time","Average Response Rate","edge-server-cv-74d975f7cd-64tvg Response","edge-server-cv-74d975f7cd-xj7sb Response"
2022-04-18 16:50:44,589 ms,639 ms,538 ms
2022-04-18 16:50:46,624 ms,760 ms,488 ms
2022-04-18 16:50:48,760 ms,1.08 s,438 ms
2022-04-18 16:50:50,928 ms,1.44 s,421 ms
2022-04-18 16:50:52,909 ms,1.48 s,337 ms
2022-04-18 16:50:54,977 ms,1.63 s,325 ms
2022-04-18 16:50:56,1.12 s,1.46 s,793 ms
2022-04-18 16:50:58,695 ms,643 ms,747 ms
2022-04-18 16:51:00,558 ms,325 ms,791 ms
2022-04-18 16:51:02,546 ms,259 ms,833 ms
2022-04-18 16:51:04,494 ms,255 ms,732 ms
2022-04-18 16:51:06,427 ms,410 ms,443 ms
2022-04-18 16:51:08,451 ms,450 ms,453 ms
2022-04-18 16:51:10,515 ms,523 ms,507 ms
2022-04-18 16:51:12,634 ms,497 ms,770 ms
2022-04-18 16:51:14,858 ms,436 ms,1.28 s
2022-04-18 16:51:16,987 ms,348 ms,1.63 s
2022-04-18 16:51:18,1.07 s,363 ms,1.79 s
2022-04-18 16:51:20,1.22 s,767 ms,1.67 s
2022-04-18 16:51:22,1.04 s,783 ms,1.29 s
2022-04-18 16:51:24,1.06 s,820 ms,1.29 s
2022-04-18 16:51:26,542 ms,764 ms,321 ms
2022-04-18 16:51:28,454 ms,574 ms,333 ms
2022-04-18 16:51:30,416 ms,492 ms,339 ms
2022-04-18 16:51:32,451 ms,458 ms,444 ms
2022-04-18 16:51:34,497 ms,502 ms,493 ms
2022-04-18 16:51:36,552 ms,594 ms,511 ms
2022-04-18 16:51:38,570 ms,568 ms,571 ms
2022-04-18 16:51:40,653 ms,653 ms,654 ms
2022-04-18 16:51:42,1.13 s,922 ms,1.34 s
2022-04-18 16:51:44,1.12 s,942 ms,1.30 s
2022-04-18 16:51:46,1.09 s,936 ms,1.24 s
2022-04-18 16:51:48,984 ms,936 ms,1.03 s
2022-04-18 16:51:50,801 ms,779 ms,823 ms
2022-04-18 16:51:52,542 ms,581 ms,503 ms
2022-04-18 16:51:54,514 ms,575 ms,453 ms
2022-04-18 16:51:56,413 ms,380 ms,445 ms
2022-04-18 16:51:58,331 ms,362 ms,300 ms
2022-04-18 16:52:00,378 ms,476 ms,281 ms
2022-04-18 16:52:02,444 ms,578 ms,310 ms
2022-04-18 16:52:04,561 ms,621 ms,502 ms
2022-04-18 16:52:06,570 ms,633 ms,507 ms
2022-04-18 16:52:08,575 ms,593 ms,558 ms
2022-04-18 16:52:10,557 ms,536 ms,577 ms
2022-04-18 16:52:12,537 ms,462 ms,611 ms
2022-04-18 16:52:14,549 ms,490 ms,609 ms
2022-04-18 16:52:16,586 ms,612 ms,561 ms
2022-04-18 16:52:18,580 ms,605 ms,554 ms
2022-04-18 16:52:20,515 ms,595 ms,435 ms
2022-04-18 16:52:22,508 ms,629 ms,388 ms
2022-04-18 16:52:24,389 ms,407 ms,372 ms
2022-04-18 16:52:26,443 ms,468 ms,419 ms
2022-04-18 16:52:28,496 ms,551 ms,441 ms
2022-04-18 16:52:30,703 ms,640 ms,766 ms
2022-04-18 16:52:32,798 ms,622 ms,974 ms
2022-04-18 16:52:34,825 ms,596 ms,1.05 s
2022-04-18 16:52:36,864 ms,518 ms,1.21 s
2022-04-18 16:52:38,733 ms,467 ms,999 ms
