"Time","edge-server-cv-74d975f7cd-ssg2f Response"
2022-04-18 14:09:02,288 ms
2022-04-18 14:09:04,365 ms
2022-04-18 14:09:06,378 ms
2022-04-18 14:09:08,393 ms
2022-04-18 14:09:10,380 ms
2022-04-18 14:09:12,315 ms
2022-04-18 14:09:14,349 ms
2022-04-18 14:09:16,349 ms
2022-04-18 14:09:18,349 ms
2022-04-18 14:09:20,394 ms
2022-04-18 14:09:22,369 ms
2022-04-18 14:09:24,750 ms
2022-04-18 14:09:26,629 ms
2022-04-18 14:09:28,576 ms
2022-04-18 14:09:30,543 ms
2022-04-18 14:09:32,429 ms
2022-04-18 14:09:34,333 ms
2022-04-18 14:09:36,471 ms
2022-04-18 14:09:38,496 ms
2022-04-18 14:09:40,527 ms
2022-04-18 14:09:42,550 ms
2022-04-18 14:09:44,500 ms
2022-04-18 14:09:46,337 ms
2022-04-18 14:09:48,297 ms
2022-04-18 14:09:50,335 ms
2022-04-18 14:09:52,345 ms
2022-04-18 14:09:54,344 ms
2022-04-18 14:09:56,368 ms
2022-04-18 14:09:58,381 ms
2022-04-18 14:10:00,382 ms
2022-04-18 14:10:02,380 ms
2022-04-18 14:10:04,360 ms
2022-04-18 14:10:06,364 ms
2022-04-18 14:10:08,366 ms
2022-04-18 14:10:10,314 ms
2022-04-18 14:10:12,558 ms
2022-04-18 14:10:14,842 ms
2022-04-18 14:10:16,784 ms
2022-04-18 14:10:18,841 ms
2022-04-18 14:10:20,841 ms
2022-04-18 14:10:22,656 ms
2022-04-18 14:10:24,419 ms
2022-04-18 14:10:26,407 ms
2022-04-18 14:10:28,442 ms
2022-04-18 14:10:30,505 ms
2022-04-18 14:10:32,334 ms
2022-04-18 14:10:34,366 ms
2022-04-18 14:10:36,425 ms
2022-04-18 14:10:38,364 ms
2022-04-18 14:10:40,356 ms
2022-04-18 14:10:42,386 ms
2022-04-18 14:10:44,376 ms
2022-04-18 14:10:46,348 ms
2022-04-18 14:10:48,360 ms
2022-04-18 14:10:50,370 ms
2022-04-18 14:10:52,478 ms
2022-04-18 14:10:54,537 ms
2022-04-18 14:10:56,568 ms
2022-04-18 14:10:58,649 ms
2022-04-18 14:11:00,965 ms
2022-04-18 14:11:02,960 ms
2022-04-18 14:11:04,877 ms
2022-04-18 14:11:06,937 ms
2022-04-18 14:11:08,722 ms
2022-04-18 14:11:10,627 ms
2022-04-18 14:11:12,534 ms
2022-04-18 14:11:14,508 ms
2022-04-18 14:11:16,276 ms
2022-04-18 14:11:18,287 ms
2022-04-18 14:11:20,287 ms
2022-04-18 14:11:22,292 ms
2022-04-18 14:11:24,289 ms
2022-04-18 14:11:26,2.02 s
2022-04-18 14:11:28,1.60 s
2022-04-18 14:11:30,1.30 s
2022-04-18 14:11:32,1.20 s
2022-04-18 14:11:34,1.11 s
2022-04-18 14:11:36,375 ms
2022-04-18 14:11:38,475 ms
2022-04-18 14:11:40,480 ms
2022-04-18 14:11:42,510 ms
2022-04-18 14:11:44,487 ms
2022-04-18 14:11:46,437 ms
2022-04-18 14:11:48,359 ms
2022-04-18 14:11:50,330 ms
2022-04-18 14:11:52,321 ms
2022-04-18 14:11:54,332 ms
2022-04-18 14:11:56,350 ms
2022-04-18 14:11:58,376 ms
2022-04-18 14:12:00,356 ms
2022-04-18 14:12:02,375 ms
2022-04-18 14:12:04,421 ms
2022-04-18 14:12:06,728 ms
2022-04-18 14:12:08,882 ms
2022-04-18 14:12:10,813 ms
2022-04-18 14:12:12,719 ms
2022-04-18 14:12:14,489 ms
2022-04-18 14:12:16,352 ms
2022-04-18 14:12:18,404 ms
2022-04-18 14:12:20,391 ms
2022-04-18 14:12:22,440 ms
2022-04-18 14:12:24,415 ms
2022-04-18 14:12:26,543 ms
2022-04-18 14:12:28,540 ms
2022-04-18 14:12:30,540 ms
2022-04-18 14:12:32,634 ms
2022-04-18 14:12:34,635 ms
2022-04-18 14:12:36,623 ms
2022-04-18 14:12:38,573 ms
2022-04-18 14:12:40,531 ms
2022-04-18 14:12:42,498 ms
2022-04-18 14:12:44,772 ms
2022-04-18 14:12:46,794 ms
2022-04-18 14:12:48,678 ms
2022-04-18 14:12:50,712 ms
2022-04-18 14:12:52,578 ms
2022-04-18 14:12:54,338 ms
2022-04-18 14:12:56,372 ms
2022-04-18 14:12:58,342 ms
2022-04-18 14:13:00,338 ms
2022-04-18 14:13:02,350 ms
2022-04-18 14:13:04,464 ms
2022-04-18 14:13:06,449 ms
2022-04-18 14:13:08,394 ms
2022-04-18 14:13:10,417 ms
2022-04-18 14:13:12,357 ms
2022-04-18 14:13:14,350 ms
2022-04-18 14:13:16,593 ms
2022-04-18 14:13:18,558 ms
2022-04-18 14:13:20,681 ms
2022-04-18 14:13:22,758 ms
2022-04-18 14:13:24,587 ms
2022-04-18 14:13:26,594 ms
2022-04-18 14:13:28,274 ms
2022-04-18 14:13:30,415 ms
2022-04-18 14:13:32,343 ms
2022-04-18 14:13:34,333 ms
2022-04-18 14:13:36,364 ms
2022-04-18 14:13:38,756 ms
2022-04-18 14:13:40,675 ms
2022-04-18 14:13:42,706 ms
2022-04-18 14:13:44,680 ms
2022-04-18 14:13:46,641 ms
2022-04-18 14:13:48,401 ms
2022-04-18 14:13:50,424 ms
2022-04-18 14:13:52,495 ms
2022-04-18 14:13:54,457 ms
2022-04-18 14:13:56,2.48 s
2022-04-18 14:13:58,1.88 s
2022-04-18 14:14:00,1.93 s
2022-04-18 14:14:02,1.68 s
2022-04-18 14:14:04,1.68 s
2022-04-18 14:14:06,1.14 s
2022-04-18 14:14:08,1.03 s
2022-04-18 14:14:10,520 ms
2022-04-18 14:14:12,435 ms
2022-04-18 14:14:14,420 ms
2022-04-18 14:14:16,374 ms
2022-04-18 14:14:18,313 ms
2022-04-18 14:14:20,331 ms
2022-04-18 14:14:22,325 ms
2022-04-18 14:14:24,437 ms
2022-04-18 14:14:26,548 ms
2022-04-18 14:14:28,632 ms
2022-04-18 14:14:30,579 ms
2022-04-18 14:14:32,590 ms
2022-04-18 14:14:34,449 ms
2022-04-18 14:14:36,407 ms
2022-04-18 14:14:38,338 ms
2022-04-18 14:14:40,349 ms
2022-04-18 14:14:42,359 ms
2022-04-18 14:14:44,378 ms
2022-04-18 14:14:46,349 ms
2022-04-18 14:14:48,336 ms
2022-04-18 14:14:50,378 ms
2022-04-18 14:14:52,372 ms
2022-04-18 14:14:54,407 ms
2022-04-18 14:14:56,391 ms
2022-04-18 14:14:58,378 ms
2022-04-18 14:15:00,438 ms
2022-04-18 14:15:02,438 ms
2022-04-18 14:15:04,340 ms
2022-04-18 14:15:06,466 ms
2022-04-18 14:15:08,425 ms
2022-04-18 14:15:10,380 ms
2022-04-18 14:15:12,380 ms
2022-04-18 14:15:14,333 ms
2022-04-18 14:15:16,301 ms
2022-04-18 14:15:18,349 ms
2022-04-18 14:15:20,357 ms
2022-04-18 14:15:22,337 ms
2022-04-18 14:15:24,329 ms
2022-04-18 14:15:26,278 ms
2022-04-18 14:15:28,275 ms
2022-04-18 14:15:30,271 ms
2022-04-18 14:15:32,281 ms
2022-04-18 14:15:34,366 ms
2022-04-18 14:15:36,477 ms
2022-04-18 14:15:38,464 ms
2022-04-18 14:15:40,453 ms
2022-04-18 14:15:42,446 ms
2022-04-18 14:15:44,347 ms
2022-04-18 14:15:46,326 ms
2022-04-18 14:15:48,357 ms
2022-04-18 14:15:50,363 ms
2022-04-18 14:15:52,364 ms
2022-04-18 14:15:54,347 ms
2022-04-18 14:15:56,360 ms
2022-04-18 14:15:58,301 ms
2022-04-18 14:16:00,351 ms
2022-04-18 14:16:02,350 ms
2022-04-18 14:16:04,361 ms
2022-04-18 14:16:06,354 ms
2022-04-18 14:16:08,374 ms
2022-04-18 14:16:10,283 ms
2022-04-18 14:16:12,289 ms
2022-04-18 14:16:14,289 ms
2022-04-18 14:16:16,289 ms
2022-04-18 14:16:18,291 ms
2022-04-18 14:16:20,288 ms
2022-04-18 14:16:22,294 ms
2022-04-18 14:16:24,401 ms
2022-04-18 14:16:26,709 ms
2022-04-18 14:16:28,1.52 s
2022-04-18 14:16:30,1.23 s
2022-04-18 14:16:32,1.38 s
2022-04-18 14:16:34,1.24 s
2022-04-18 14:16:36,628 ms
2022-04-18 14:16:38,258 ms
